character	act	scene	fromline	toline	lines	words	text
ADRIAN-TMP	2	1	721	721	1	7	Though this island seem to be desert—
ADRIAN-TMP	2	1	724	724	1	4	Uninhabitable and almost inaccessible—
ADRIAN-TMP	2	1	726	726	1	1	Yet—
ADRIAN-TMP	2	1	728	729	2	10	It must needs be of subtle, tender, and delicate<br>temperance.
ADRIAN-TMP	2	1	733	733	1	8	The air breathes upon us here most sweetly.
ADRIAN-TMP	2	1	761	762	2	12	Tunis was never graced before with such a<br>paragon to their queen.
ADRIAN-TMP	2	1	768	770	3	17	<span class="quote" data-words="2">Widow Dido,</span> said you? You<br>make me study of that. She was of Carthage, not of<br>Tunis.
ADRIAN-TMP	2	1	772	772	1	1	Carthage?
ADRIAN-TMP	3	3	1669	1669	1	4	Follow, I pray you.
ALONSO	1	1	9	10	2	10	Good boatswain, have care. Where’s the Master?<br>Play the men.
ALONSO	2	1	1037	1038	2	13	Why, how now, ho! Awake? Why are you drawn?<br>Wherefore this ghastly looking?
ALONSO	2	1	1044	1044	1	3	I heard nothing.
ALONSO	2	1	1048	1048	1	4	Heard you this, Gonzalo?
ALONSO	2	1	1055	1056	2	13	Lead off this ground, and let’s make further search<br>For my poor son.
ALONSO	2	1	1059	1059	1	2	Lead away.
ALONSO	2	1	694	694	1	2	Prithee, peace.
ALONSO	2	1	711	711	1	3	I prithee, spare.
ALONSO	2	1	796	803	8	65	You cram these words into mine ears against<br>The stomach of my sense. Would I had never<br>Married my daughter there, for coming thence<br>My son is lost, and, in my rate, she too,<br>Who is so far from Italy removed<br>I ne’er again shall see her.—O, thou mine heir<br>Of Naples and of Milan, what strange fish<br>Hath made his meal on thee?
ALONSO	2	1	814	814	1	4	No, no, he’s gone.
ALONSO	2	1	820	820	1	2	Prithee, peace.
ALONSO	2	1	830	830	1	7	So is the dear’st o’ th’ loss.
ALONSO	2	1	872	872	1	9	Prithee, no more. Thou dost talk nothing to me.
ALONSO	2	1	892	894	3	24	What, all so soon asleep? I wish mine eyes<br>Would, with themselves, shut up my thoughts. I find<br>They are inclined to do so.
ALONSO	2	1	902	902	1	4	Thank you. Wondrous heavy.
ALONSO	3	3	1542	1548	7	60	Old lord, I cannot blame thee.<br>Who am myself attached with weariness<br>To th’ dulling of my spirits. Sit down and rest.<br>Even here I will put off my hope and keep it<br>No longer for my flatterer. He is drowned<br>Whom thus we stray to find, and the sea mocks<br>Our frustrate search on land. Well, let him go.
ALONSO	3	3	1559	1559	1	8	What harmony is this? My good friends, hark.
ALONSO	3	3	1561	1561	1	8	Give us kind keepers, heavens! What were these?
ALONSO	3	3	1581	1585	5	26	I cannot too much muse<br>Such shapes, such gesture, and such sound,<br>expressing—<br>Although they want the use of tongue—a kind<br>Of excellent dumb discourse.
ALONSO	3	3	1592	1592	1	2	Not I.
ALONSO	3	3	1602	1605	4	29	I will stand to and feed.<br>Although my last, no matter, since I feel<br>The best is past. Brother, my lord the Duke,<br>Stand to, and do as we.
ALONSO	3	3	1652	1659	8	63	O, it is monstrous, monstrous!<br>Methought the billows spoke and told me of it;<br>The winds did sing it to me, and the thunder,<br>That deep and dreadful organ pipe, pronounced<br>The name of Prosper. It did bass my trespass.<br>Therefor my son i’ th’ ooze is bedded, and<br>I’ll seek him deeper than e’er plummet sounded,<br>And with him there lie mudded.
ALONSO	5	1	2087	2097	11	82	Whe’er thou be’st he or no,<br>Or some enchanted trifle to abuse me<br>(As late I have been) I not know. Thy pulse<br>Beats as of flesh and blood; and since I saw thee,<br>Th’ affliction of my mind amends, with which<br>I fear a madness held me. This must crave,<br>An if this be at all, a most strange story.<br>Thy dukedom I resign, and do entreat<br>Thou pardon me my wrongs. But how should<br>Prospero<br>Be living and be here?
ALONSO	5	1	2119	2124	6	41	If thou be’st Prospero,<br>Give us particulars of thy preservation,<br>How thou hast met us here, whom three hours since<br>Were wracked upon this shore, where I have lost—<br>How sharp the point of this remembrance is!—<br>My dear son Ferdinand.
ALONSO	5	1	2126	2127	2	12	Irreparable is the loss, and patience<br>Says it is past her cure.
ALONSO	5	1	2132	2132	1	4	You the like loss?
ALONSO	5	1	2137	2142	6	38	A daughter?<br>O heavens, that they were living both in Naples,<br>The King and Queen there! That they were, I wish<br>Myself were mudded in that oozy bed<br>Where my son lies!—When did you lose your<br>daughter?
ALONSO	5	1	2169	2171	3	15	If this prove<br>A vision of the island, one dear son<br>Shall I twice lose.
ALONSO	5	1	2175	2178	4	18	Now, all the<br>blessings<br>Of a glad father compass thee about!<br>Arise, and say how thou cam’st here.
ALONSO	5	1	2184	2187	4	30	What is this maid with whom thou wast at play?<br>Your eld’st acquaintance cannot be three hours.<br>Is she the goddess that hath severed us<br>And brought us thus together?
ALONSO	5	1	2197	2199	3	17	I am hers.<br>But, O, how oddly will it sound that I<br>Must ask my child forgiveness!
ALONSO	5	1	2209	2209	1	4	I say <span class="quote" data-words="1">Amen,</span> Gonzalo.
ALONSO	5	1	2219	2222	4	18	Give me your<br>hands.<br>Let grief and sorrow still embrace his heart<br>That doth not wish you joy!
ALONSO	5	1	2238	2240	3	16	These are not natural events. They strengthen<br>From strange to stranger.—Say, how came you<br>hither?
ALONSO	5	1	2257	2260	4	29	This is as strange a maze as e’er men trod,<br>And there is in this business more than nature<br>Was ever conduct of. Some oracle<br>Must rectify our knowledge.
ALONSO	5	1	2297	2297	1	7	Is not this Stephano, my drunken butler?
ALONSO	5	1	2299	2301	3	24	And Trinculo is reeling ripe. Where should they<br>Find this grand liquor that hath gilded ’em?<br>How cam’st thou in this pickle?
ALONSO	5	1	2310	2310	1	11	This is as strange a thing as e’er I looked on.
ALONSO	5	1	2320	2320	1	9	Hence, and bestow your luggage where you found it.
ALONSO	5	1	2334	2336	3	15	I long<br>To hear the story of your life, which must<br>Take the ear strangely.
ANTONIO-TMP	1	1	12	12	1	5	Where is the Master, boatswain?
ANTONIO-TMP	1	1	44	46	3	17	Hang, cur, hang, you whoreson, insolent<br>noisemaker! We are less afraid to be drowned than<br>thou art.
ANTONIO-TMP	1	1	57	59	3	22	We are merely cheated of our lives by drunkards.<br>This wide-chopped rascal—would thou<br>mightst lie drowning the washing of ten tides!
ANTONIO-TMP	1	1	66	66	1	6	Let’s all sink wi’ th’ King.
ANTONIO-TMP	2	1	1001	1015	15	126	Ay, sir, where lies that? If ’twere a kibe,<br>’Twould put me to my slipper, but I feel not<br>This deity in my bosom. Twenty consciences<br>That stand ’twixt me and Milan, candied be they<br>And melt ere they molest! Here lies your brother,<br>No better than the earth he lies upon.<br>If he were that which now he’s like—that’s dead—<br>Whom I with this obedient steel, three inches of it,<br>Can lay to bed forever; whiles you, doing thus,<br>To the perpetual wink for aye might put<br>This ancient morsel, this Sir Prudence, who<br>Should not upbraid our course. For all the rest,<br>They’ll take suggestion as a cat laps milk.<br>They’ll tell the clock to any business that<br>We say befits the hour.
ANTONIO-TMP	2	1	1021	1023	3	17	Draw together,<br>And when I rear my hand, do you the like<br>To fall it on Gonzalo.
ANTONIO-TMP	2	1	1034	1034	1	6	Then let us both be sudden.
ANTONIO-TMP	2	1	1045	1047	3	24	O, ’twas a din to fright a monster’s ear,<br>To make an earthquake. Sure, it was the roar<br>Of a whole herd of lions.
ANTONIO-TMP	2	1	697	697	1	8	The visitor will not give him o’er so.
ANTONIO-TMP	2	1	710	710	1	9	Fie, what a spendthrift is he of his tongue.
ANTONIO-TMP	2	1	714	715	2	13	Which, of he or Adrian,<br>for a good wager, first begins to crow?
ANTONIO-TMP	2	1	717	717	1	2	The cockerel.
ANTONIO-TMP	2	1	719	719	1	2	A laughter.
ANTONIO-TMP	2	1	722	722	1	3	Ha, ha, ha.
ANTONIO-TMP	2	1	727	727	1	5	He could not miss ’t.
ANTONIO-TMP	2	1	730	730	1	5	Temperance was a delicate wench.
ANTONIO-TMP	2	1	735	735	1	7	Or as ’twere perfumed by a fen.
ANTONIO-TMP	2	1	737	737	1	5	True, save means to live.
ANTONIO-TMP	2	1	741	741	1	5	The ground indeed is tawny.
ANTONIO-TMP	2	1	743	743	1	4	He misses not much.
ANTONIO-TMP	2	1	752	753	2	14	If but one of his pockets could speak, would<br>it not say he lies?
ANTONIO-TMP	2	1	764	765	2	12	Widow? A pox o’ that! How came that <span class="quote" data-words="1">widow</span><br>in? Widow Dido!
ANTONIO-TMP	2	1	774	774	1	8	His word is more than the miraculous harp.
ANTONIO-TMP	2	1	776	777	2	8	What impossible matter will he make easy<br>next?
ANTONIO-TMP	2	1	780	781	2	13	And sowing the kernels of it in the sea, bring<br>forth more islands.
ANTONIO-TMP	2	1	783	783	1	4	Why, in good time.
ANTONIO-TMP	2	1	788	788	1	7	And the rarest that e’er came there.
ANTONIO-TMP	2	1	790	790	1	6	O, widow Dido? Ay, widow Dido.
ANTONIO-TMP	2	1	793	793	1	6	That <span class="quote" data-words="1">sort</span> was well fished for.
ANTONIO-TMP	2	1	836	836	1	3	And most chirurgeonly.
ANTONIO-TMP	2	1	840	840	1	2	Very foul.
ANTONIO-TMP	2	1	842	842	1	6	He’d sow ’t with nettle seed.
ANTONIO-TMP	2	1	857	858	2	9	The latter end of his commonwealth forgets<br>the beginning.
ANTONIO-TMP	2	1	866	866	1	7	None, man, all idle: whores and knaves.
ANTONIO-TMP	2	1	870	870	1	3	Long live Gonzalo!
ANTONIO-TMP	2	1	877	877	1	5	’Twas you we laughed at.
ANTONIO-TMP	2	1	881	881	1	6	What a blow was there given!
ANTONIO-TMP	2	1	887	887	1	7	Nay, good my lord, be not angry.
ANTONIO-TMP	2	1	891	891	1	5	Go sleep, and hear us.
ANTONIO-TMP	2	1	899	901	3	17	We two, my lord,<br>Will guard your person while you take your rest,<br>And watch your safety.
ANTONIO-TMP	2	1	904	904	1	7	It is the quality o’ th’ climate.
ANTONIO-TMP	2	1	908	915	8	56	Nor I. My spirits are nimble.<br>They fell together all, as by consent.<br>They dropped as by a thunderstroke. What might,<br>Worthy Sebastian, O, what might—? No more.<br>And yet methinks I see it in thy face<br>What thou shouldst be. Th’ occasion speaks thee, and<br>My strong imagination sees a crown<br>Dropping upon thy head.
ANTONIO-TMP	2	1	917	917	1	6	Do you not hear me speak?
ANTONIO-TMP	2	1	924	926	3	14	Noble Sebastian,<br>Thou let’st thy fortune sleep, die rather, wink’st<br>Whiles thou art waking.
ANTONIO-TMP	2	1	929	931	3	21	I am more serious than my custom. You<br>Must be so too, if heed me; which to do<br>Trebles thee o’er.
ANTONIO-TMP	2	1	933	933	1	6	I’ll teach you how to flow.
ANTONIO-TMP	2	1	936	941	6	40	O,<br>If you but knew how you the purpose cherish<br>Whiles thus you mock it, how in stripping it<br>You more invest it. Ebbing men indeed<br>Most often do so near the bottom run<br>By their own fear or sloth.
ANTONIO-TMP	2	1	946	953	8	51	Thus, sir:<br>Although this lord of weak remembrance—this,<br>Who shall be of as little memory<br>When he is earthed—hath here almost persuaded—<br>For he’s a spirit of persuasion, only<br>Professes to persuade—the King his son’s alive,<br>’Tis as impossible that he’s undrowned<br>As he that sleeps here swims.
ANTONIO-TMP	2	1	956	961	6	43	O, out of that no hope<br>What great hope have you! No hope that way is<br>Another way so high a hope that even<br>Ambition cannot pierce a wink beyond,<br>But doubt discovery there. Will you grant with me<br>That Ferdinand is drowned?
ANTONIO-TMP	2	1	963	964	2	9	Then tell me,<br>Who’s the next heir of Naples?
ANTONIO-TMP	2	1	966	974	9	74	She that is Queen of Tunis; she that dwells<br>Ten leagues beyond man’s life; she that from Naples<br>Can have no note, unless the sun were post—<br>The man i’ th’ moon’s too slow—till newborn chins<br>Be rough and razorable; she that from whom<br>We all were sea-swallowed, though some cast again,<br>And by that destiny to perform an act<br>Whereof what’s past is prologue, what to come<br>In yours and my discharge.
ANTONIO-TMP	2	1	979	988	12	97	A space whose ev’ry cubit<br>Seems to cry out <span class="quote" data-words="16">How shall that ClaribelMeasure us back to Naples? Keep in Tunis<br>And let Sebastian wake.</span> Say this were death<br>That now hath seized them, why, they were no worse<br>Than now they are. There be that can rule Naples<br>As well as he that sleeps, lords that can prate<br>As amply and unnecessarily<br>As this Gonzalo. I myself could make<br>A chough of as deep chat. O, that you bore<br>The mind that I do, what a sleep were this<br>For your advancement! Do you understand me?
ANTONIO-TMP	2	1	992	993	2	10	And how does your content<br>Tender your own good fortune?
ANTONIO-TMP	2	1	996	999	4	26	True,<br>And look how well my garments sit upon me,<br>Much feater than before. My brother’s servants<br>Were then my fellows; now they are my men.
ANTONIO-TMP	3	3	1549	1551	3	23	I am right glad that he’s so out of hope.<br>Do not, for one repulse, forgo the purpose<br>That you resolved t’ effect.
ANTONIO-TMP	3	3	1554	1557	4	24	Let it be tonight;<br>For now they are oppressed with travel, they<br>Will not nor cannot use such vigilance<br>As when they are fresh.
ANTONIO-TMP	3	3	1566	1569	4	28	I’ll believe both;<br>And what does else want credit, come to me<br>And I’ll be sworn ’tis true. Travelers ne’er did lie,<br>Though fools at home condemn ’em.
ANTONIO-TMP	3	3	1662	1662	1	4	I’ll be thy second.
ANTONIO-TMP	5	1	2284	2285	2	13	Very like. One of them<br>Is a plain fish and no doubt marketable.
ARIEL			523	522	13	55	<span class="song" data-words="55">Come unto these yellow sands,<br>And then take hands.<br>Curtsied when you have, and kissed<br>The wild waves whist.<br>Foot it featly here and there,<br>And sweet sprites bear<br>The burden. Hark, hark!<br>Burden dispersedly, within:Bow-wow.<br>The watchdogs bark.<br>Burden dispersedly, within:Bow-wow.<br>Hark, hark! I hear<br>The strain of strutting chanticleer<br>Cry cock-a-diddle-dow.</span>
ARIEL			545	544	9	54	<span class="song" data-words="54">Full fathom five thy father lies.<br>Of his bones are coral made.<br>Those are pearls that were his eyes.<br>Nothing of him that doth fade<br>But doth suffer a sea change<br>Into something rich and strange.<br>Sea nymphs hourly ring his knell.<span class="song" data-words="4">Burden, within:Ding dong.</span><br>Hark, now I hear them: ding dong bell.</span>
ARIEL	1	2	295	299	5	41	All hail, great master! Grave sir, hail! I come<br>To answer thy best pleasure. Be ’t to fly,<br>To swim, to dive into the fire, to ride<br>On the curled clouds, to thy strong bidding task<br>Ariel and all his quality.
ARIEL	1	2	302	313	12	86	To every article.<br>I boarded the King’s ship; now on the beak,<br>Now in the waist, the deck, in every cabin,<br>I flamed amazement. Sometimes I’d divide<br>And burn in many places. On the topmast,<br>The yards, and bowsprit would I flame distinctly,<br>Then meet and join. Jove’s lightning, the precursors<br>O’ th’ dreadful thunderclaps, more momentary<br>And sight-outrunning were not. The fire and cracks<br>Of sulfurous roaring the most mighty Neptune<br>Seem to besiege and make his bold waves tremble,<br>Yea, his dread trident shake.
ARIEL	1	2	317	323	8	61	Not a soul<br>But felt a fever of the mad, and played<br>Some tricks of desperation. All but mariners<br>Plunged in the foaming brine and quit the vessel,<br>Then all afire with me. The King’s son, Ferdinand,<br>With hair up-staring—then like reeds, not hair—<br>Was the first man that leaped; cried <span class="quote" data-words="9">Hell is empty,And all the devils are here.</span>
ARIEL	1	2	327	327	1	4	Close by, my master.
ARIEL	1	2	329	336	8	61	Not a hair perished.<br>On their sustaining garments not a blemish,<br>But fresher than before; and, as thou bad’st me,<br>In troops I have dispersed them ’bout the isle.<br>The King’s son have I landed by himself,<br>Whom I left cooling of the air with sighs<br>In an odd angle of the isle, and sitting,<br>His arms in this sad knot.
ARIEL	1	2	340	351	12	87	Safely in harbor<br>Is the King’s ship. In the deep nook, where once<br>Thou called’st me up at midnight to fetch dew<br>From the still-vexed Bermoothes, there she’s hid;<br>The mariners all under hatches stowed,<br>Who, with a charm joined to their suffered labor,<br>I have left asleep. And for the rest o’ th’ fleet,<br>Which I dispersed, they all have met again<br>And are upon the Mediterranean float,<br>Bound sadly home for Naples,<br>Supposing that they saw the King’s ship wracked<br>And his great person perish.
ARIEL	1	2	355	355	1	4	Past the mid season.
ARIEL	1	2	358	360	3	24	Is there more toil? Since thou dost give me pains,<br>Let me remember thee what thou hast promised,<br>Which is not yet performed me.
ARIEL	1	2	363	363	1	2	My liberty.
ARIEL	1	2	365	369	5	31	I prithee,<br>Remember I have done thee worthy service,<br>Told thee no lies, made no mistakings, served<br>Without or grudge or grumblings. Thou did promise<br>To bate me a full year.
ARIEL	1	2	372	372	1	1	No.
ARIEL	1	2	378	378	1	4	I do not, sir.
ARIEL	1	2	382	382	1	2	No, sir.
ARIEL	1	2	384	384	1	3	Sir, in Argier.
ARIEL	1	2	392	392	1	2	Ay, sir.
ARIEL	1	2	409	409	1	4	Yes, Caliban, her son.
ARIEL	1	2	419	419	1	4	I thank thee, master.
ARIEL	1	2	423	425	3	13	Pardon, master.<br>I will be correspondent to command<br>And do my spriting gently.
ARIEL	1	2	428	429	2	14	That’s my noble master.<br>What shall I do? Say, what? What shall I do?
ARIEL	1	2	453	453	1	6	My lord, it shall be done.
ARIEL	1	2	683	683	1	3	To th’ syllable.
ARIEL	2	1	1025	1027	9	57	My master through his art foresees the danger<br>That you, his friend, are in, and sends me forth—<br>For else his project dies—to keep them living.<span class="song" data-words="26">While you here do snoring lie,<br>Open-eyed conspiracy<br>His time doth take.<br>If of life you keep a care,<br>Shake off slumber and beware.<br>Awake, awake!</span>
ARIEL	2	1	1060	1061	2	18	Prospero my lord shall know what I have done.<br>So, king, go safely on to seek thy son.
ARIEL	3	2	1419	1419	1	2	Thou liest.
ARIEL	3	2	1439	1439	1	5	Thou liest. Thou canst not.
ARIEL	3	2	1452	1452	1	2	Thou liest.
ARIEL	3	2	1497	1497	1	6	This will I tell my master.
ARIEL	3	3	1606	1637	32	247	You are three men of sin, whom Destiny,<br>That hath to instrument this lower world<br>And what is in ’t, the never-surfeited sea<br>Hath caused to belch up you, and on this island,<br>Where man doth not inhabit, you ’mongst men<br>Being most unfit to live. I have made you mad;<br>And even with such-like valor, men hang and drown<br>Their proper selves.<br>You fools, I and my fellows<br>Are ministers of Fate. The elements<br>Of whom your swords are tempered may as well<br>Wound the loud winds or with bemocked-at stabs<br>Kill the still-closing waters as diminish<br>One dowl that’s in my plume. My fellow ministers<br>Are like invulnerable. If you could hurt,<br>Your swords are now too massy for your strengths<br>And will not be uplifted. But remember—<br>For that’s my business to you—that you three<br>From Milan did supplant good Prospero,<br>Exposed unto the sea, which hath requit it,<br>Him and his innocent child, for which foul deed,<br>The powers—delaying, not forgetting—have<br>Incensed the seas and shores, yea, all the creatures<br>Against your peace. Thee of thy son, Alonso,<br>They have bereft; and do pronounce by me<br>Ling’ring perdition, worse than any death<br>Can be at once, shall step by step attend<br>You and your ways, whose wraths to guard you<br>from—<br>Which here, in this most desolate isle, else falls<br>Upon your heads—is nothing but heart’s sorrow<br>And a clear life ensuing.
ARIEL	4	1	1706	1706	1	8	What would my potent master? Here I am.
ARIEL	4	1	1715	1715	1	1	Presently?
ARIEL	4	1	1717	1716	5	33	<span class="poem" data-words="33">Before you can say <span class="quote" data-words="1">Come</span> and <span class="quote" data-words="1">Go,</span><br>And breathe twice, and cry <span class="quote" data-words="2">So, so,</span><br>Each one, tripping on his toe,<br>Will be here with mop and mow.<br>Do you love me, master? No?</span>
ARIEL	4	1	1724	1724	1	3	Well; I conceive.
ARIEL	4	1	1852	1852	1	8	Thy thoughts I cleave to. What’s thy pleasure?
ARIEL	4	1	1855	1857	3	23	Ay, my commander. When I presented Ceres,<br>I thought to have told thee of it, but I feared<br>Lest I might anger thee.
ARIEL	4	1	1859	1874	16	112	I told you, sir, they were red-hot with drinking,<br>So full of valor that they smote the air<br>For breathing in their faces, beat the ground<br>For kissing of their feet; yet always bending<br>Towards their project. Then I beat my tabor,<br>At which, like unbacked colts, they pricked their<br>ears,<br>Advanced their eyelids, lifted up their noses<br>As they smelt music. So I charmed their ears<br>That, calf-like, they my lowing followed through<br>Toothed briers, sharp furzes, pricking gorse, and<br>thorns,<br>Which entered their frail shins. At last I left them<br>I’ th’ filthy-mantled pool beyond your cell,<br>There dancing up to th’ chins, that the foul lake<br>O’erstunk their feet.
ARIEL	4	1	1879	1879	1	4	I go, I go.
ARIEL	4	1	1952	1952	1	5	Silver! There it goes, Silver!
ARIEL	4	1	1959	1959	1	3	Hark, they roar.
ARIEL	5	1	1968	1969	2	15	On the sixth hour, at which time, my lord,<br>You said our work should cease.
ARIEL	5	1	1973	1988	16	96	Confined<br>together<br>In the same fashion as you gave in charge,<br>Just as you left them; all prisoners, sir,<br>In the line grove which weather-fends your cell.<br>They cannot budge till your release. The King,<br>His brother, and yours abide all three distracted,<br>And the remainder mourning over them,<br>Brimful of sorrow and dismay; but chiefly<br>Him that you termed, sir, the good old Lord<br>Gonzalo.<br>His tears runs down his beard like winter’s drops<br>From eaves of reeds. Your charm so strongly works<br>’em<br>That if you now beheld them, your affections<br>Would become tender.
ARIEL	5	1	1990	1990	1	6	Mine would, sir, were I human.
ARIEL	5	1	2005	2005	1	4	I’ll fetch them, sir.
ARIEL	5	1	2062	2061	7	44	<span class="song" data-words="44">Where the bee sucks, there suck I.<br>In a cowslip’s bell I lie.<br>There I couch when owls do cry.<br>On the bat’s back I do fly<br>After summer merrily.<br>Merrily, merrily shall I live now<br>Under the blossom that hangs on the bow.</span>
ARIEL	5	1	2076	2077	2	14	I drink the air before me, and return<br>Or ere your pulse twice beat.
ARIEL	5	1	2235	2236	2	10	Sir, all this service<br>Have I done since I went.
ARIEL	5	1	2255	2255	1	4	Was ’t well done?
BOATSWAIN	1	1	11	11	1	5	I pray now, keep below.
BOATSWAIN	1	1	13	14	2	17	Do you not hear him? You mar our labor.<br>Keep your cabins. You do assist the storm.
BOATSWAIN	1	1	16	18	3	20	When the sea is. Hence! What cares these<br>roarers for the name of king? To cabin! Silence!<br>Trouble us not.
BOATSWAIN	1	1	2	2	1	4	Here, master. What cheer?
BOATSWAIN	1	1	21	28	8	72	None that I more love than myself. You are<br>a councillor; if you can command these elements<br>to silence, and work the peace of the present, we<br>will not hand a rope more. Use your authority. If<br>you cannot, give thanks you have lived so long, and<br>make yourself ready in your cabin for the mischance<br>of the hour, if it so hap.—Cheerly, good<br>hearts!—Out of our way, I say!
BOATSWAIN	1	1	35	40	6	55	Down with the topmast! Yare! Lower, lower!<br>Bring her to try wi’ th’ main course.<br>A plague upon this howling! They are<br>louder than the weather or our office.<br>Yet again? What do you here? Shall we give o’er and<br>drown? Have you a mind to sink?
BOATSWAIN	1	1	43	43	1	3	Work you, then.
BOATSWAIN	1	1	5	8	4	27	Heigh, my hearts! Cheerly, cheerly, my<br>hearts! Yare, yare! Take in the topsail. Tend to th’<br>Master’s whistle.—Blow till thou burst thy wind, if<br>room enough!
BOATSWAIN	1	1	50	51	2	15	Lay her ahold, ahold! Set her two courses.<br>Off to sea again! Lay her off!
BOATSWAIN	1	1	53	53	1	6	What, must our mouths be cold?
BOATSWAIN	5	1	2230	2234	5	41	The best news is that we have safely found<br>Our king and company. The next: our ship,<br>Which, but three glasses since, we gave out split,<br>Is tight and yare and bravely rigged as when<br>We first put out to sea.
